
小说种类：玄幻奇幻排行 
小说名：惊悚乐园 	 小说地址：http://www.qu.la/book/156/ 
小说名：重生之最强剑神 	 小说地址：http://www.qu.la/book/9362/ 
小说名：文明之万界领主 	 小说地址：http://www.qu.la/book/84510/ 
小说名：网游之奴役众神 	 小说地址：http://www.qu.la/book/44711/ 
小说名：网游之锦衣卫 	 小说地址：http://www.qu.la/book/17343/ 
小说名：神鬼剑士 	 小说地址：http://www.qu.la/book/631/ 
小说名：网游之诡影盗贼 	 小说地址：http://www.qu.la/book/3738/ 
小说名：网游之最强传说 	 小说地址：http://www.qu.la/book/47743/ 
小说名：重生之领主时代 	 小说地址：http://www.qu.la/book/34892/ 
小说名：吃鸡之无限升级系统 	 小说地址：http://www.qu.la/book/214965/ 

小说种类：女生频道排行 
小说名：神医嫡女 	 小说地址：http://www.qu.la/book/13703/ 
小说名：且听凤鸣 	 小说地址：http://www.qu.la/book/258291/ 
小说名：恰似寒光遇骄阳 	 小说地址：http://www.qu.la/book/67608/ 
小说名：报告首长，我重生啦！ 	 小说地址：http://www.qu.la/book/142641/ 
小说名：误惹妖孽王爷：废材逆天四小姐 	 小说地址：http://www.qu.la/book/6598/ 
小说名：乘鸾 	 小说地址：http://www.qu.la/book/66492/ 
小说名：娇鸾 	 小说地址：http://www.qu.la/book/55999/ 
小说名：拒嫁豪门：少夫人99次出逃 	 小说地址：http://www.qu.la/book/11656/ 
小说名：军装下的绕指柔 	 小说地址：http://www.qu.la/book/75029/ 
小说名：锦桐 	 小说地址：http://www.qu.la/book/21487/ 
小说名：上阳赋 	 小说地址：http://www.qu.la/book/267742/ 
小说名：许你万丈光芒好 	 小说地址：http://www.qu.la/book/238796/ 
小说名：侯门神医大小姐 	 小说地址：http://www.qu.la/book/268702/ 
小说名：重生七七俏媳妇 	 小说地址：http://www.qu.la/book/258246/ 
小说名：爆笑宠妃：爷我等你休妻 	 小说地址：http://www.qu.la/book/11661/ 

小说种类：历史军事排行 
小说名：钢铁皇朝 	 小说地址：http://www.qu.la/book/21253/ 
小说名：天唐锦绣 	 小说地址：http://www.qu.la/book/24704/ 
小说名：重生之战神吕布 	 小说地址：http://www.qu.la/book/78541/ 
小说名：逍遥小书生 	 小说地址：http://www.qu.la/book/23934/ 
小说名：国家意志 	 小说地址：http://www.qu.la/book/109316/ 
小说名：大唐好相公 	 小说地址：http://www.qu.la/book/45600/ 
小说名：寒门崛起 	 小说地址：http://www.qu.la/book/8909/ 
小说名：超神特种兵王 	 小说地址：http://www.qu.la/book/43308/ 
小说名：南宋第一卧底 	 小说地址：http://www.qu.la/book/212410/ 
小说名：寒门枭士 	 小说地址：http://www.qu.la/book/27940/ 
小说名：最强兵王 	 小说地址：http://www.qu.la/book/4511/ 
小说名：抗日之兵魂传说 	 小说地址：http://www.qu.la/book/123/ 
小说名：唐砖 	 小说地址：http://www.qu.la/book/118/ 
小说名：明末工程师 	 小说地址：http://www.qu.la/book/21287/ 
小说名：鹰掠九天 	 小说地址：http://www.qu.la/book/125042/ 

小说种类：完本小说排行 
小说名：乾坤剑神 	 小说地址：http://www.qu.la/book/9118/ 
小说名：修仙狂徒 	 小说地址：http://www.qu.la/book/88/ 
小说名：九转道经 	 小说地址：http://www.qu.la/book/49218/ 
小说名：绝世武神 	 小说地址：http://www.qu.la/book/322/ 
小说名：大王饶命 	 小说地址：http://www.qu.la/book/38531/ 
小说名：钢铁皇朝 	 小说地址：http://www.qu.la/book/21253/ 
小说名：恰似寒光遇骄阳 	 小说地址：http://www.qu.la/book/67608/ 
小说名：末世之全能大师 	 小说地址：http://www.qu.la/book/27473/ 
小说名：超品相师 	 小说地址：http://www.qu.la/book/2970/ 
小说名：逍遥小书生 	 小说地址：http://www.qu.la/book/23934/ 
小说名：太古神王 	 小说地址：http://www.qu.la/book/4140/ 
小说名：报告首长，我重生啦！ 	 小说地址：http://www.qu.la/book/142641/ 
小说名：网游之逆天戒指 	 小说地址：http://www.qu.la/book/10479/ 
小说名：斗罗大陆II绝世唐门 	 小说地址：http://www.qu.la/book/37/ 
小说名：校花之贴身高手 	 小说地址：http://www.qu.la/book/127238/ 

小说种类：玄幻奇幻排行 
小说名：乾坤剑神 	 小说地址：http://www.qu.la/book/9118/ 
小说名：武炼巅峰 	 小说地址：http://www.qu.la/book/68/ 
小说名：全职法师 	 小说地址：http://www.qu.la/book/4703/ 
小说名：重生之都市仙尊 	 小说地址：http://www.qu.la/book/85467/ 
小说名：九转道经 	 小说地址：http://www.qu.la/book/49218/ 
小说名：绝世武神 	 小说地址：http://www.qu.la/book/322/ 
小说名：圣墟 	 小说地址：http://www.qu.la/book/24868/ 
小说名：修罗武神 	 小说地址：http://www.qu.la/book/175/ 
小说名：永生 	 小说地址：http://www.qu.la/book/856/ 
小说名：神控天下 	 小说地址：http://www.qu.la/book/133/ 
小说名：无敌天下 	 小说地址：http://www.qu.la/book/288/ 
小说名：伏天氏 	 小说地址：http://www.qu.la/book/2125/ 
小说名：完美世界 	 小说地址：http://www.qu.la/book/14/ 
小说名：太古神王 	 小说地址：http://www.qu.la/book/4140/ 
小说名：天辰 	 小说地址：http://www.qu.la/book/109268/ 

小说种类：武侠仙侠排行 
小说名：飞天 	 小说地址：http://www.qu.la/book/2847/ 
小说名：修仙狂徒 	 小说地址：http://www.qu.la/book/88/ 
小说名：重生西游之天篷妖尊 	 小说地址：http://www.qu.la/book/27946/ 
小说名：蛊真人 	 小说地址：http://www.qu.la/book/244/ 
小说名：一念永恒 	 小说地址：http://www.qu.la/book/16431/ 
小说名：我师兄实在太稳健了 	 小说地址：http://www.qu.la/book/239537/ 
小说名：遮天 	 小说地址：http://www.qu.la/book/394/ 
小说名：仙草供应商 	 小说地址：http://www.qu.la/book/93543/ 
小说名：大奉打更人 	 小说地址：http://www.qu.la/book/249305/ 
小说名：九仙图 	 小说地址：http://www.qu.la/book/11631/ 
小说名：诛仙 	 小说地址：http://www.qu.la/book/116/ 
小说名：凡人修仙之仙界篇 	 小说地址：http://www.qu.la/book/3353/ 
小说名：觅仙路 	 小说地址：http://www.qu.la/book/1566/ 
小说名：阳神 	 小说地址：http://www.qu.la/book/854/ 
小说名：我欲封天 	 小说地址：http://www.qu.la/book/1/ 

小说种类：都市言情排行 
小说名：红色仕途 	 小说地址：http://www.qu.la/book/50/ 
小说名：重生之财源滚滚 	 小说地址：http://www.qu.la/book/18363/ 
小说名：战神医婿 	 小说地址：http://www.qu.la/book/267634/ 
小说名：佣兵的战争 	 小说地址：http://www.qu.la/book/3504/ 
小说名：大王饶命 	 小说地址：http://www.qu.la/book/38531/ 
小说名：特种兵在都市 	 小说地址：http://www.qu.la/book/147/ 
小说名：都市之最强狂兵 	 小说地址：http://www.qu.la/book/84138/ 
小说名：流氓艳遇记 	 小说地址：http://www.qu.la/book/2505/ 
小说名：重生之衙内 	 小说地址：http://www.qu.la/book/1912/ 
小说名：宁北苏清荷 	 小说地址：http://www.qu.la/book/259415/ 
小说名：万族之劫 	 小说地址：http://www.qu.la/book/248516/ 
小说名：超品相师 	 小说地址：http://www.qu.la/book/2970/ 
小说名：校花的贴身高手 	 小说地址：http://www.qu.la/book/161/ 
小说名：误入官场 	 小说地址：http://www.qu.la/book/64/ 
小说名：天才相师 	 小说地址：http://www.qu.la/book/1115/ 

小说种类：科幻灵异排行 
小说名：末世之全能大师 	 小说地址：http://www.qu.la/book/27473/ 
小说名：驭房有术 	 小说地址：http://www.qu.la/book/24456/ 
小说名：吞噬星空 	 小说地址：http://www.qu.la/book/398/ 
小说名：九星毒奶 	 小说地址：http://www.qu.la/book/131920/ 
小说名：快穿之炮灰女配逆袭记 	 小说地址：http://www.qu.la/book/41337/ 
小说名：我有一座恐怖屋 	 小说地址：http://www.qu.la/book/102041/ 
小说名：九鬼压棺 	 小说地址：http://www.qu.la/book/251788/ 
小说名：学霸的黑科技系统 	 小说地址：http://www.qu.la/book/71431/ 
小说名：末世之黑暗召唤师 	 小说地址：http://www.qu.la/book/1032/ 
小说名：诸界末日在线 	 小说地址：http://www.qu.la/book/46361/ 
小说名：我是一具尸体 	 小说地址：http://www.qu.la/book/11590/ 
小说名：英雄联盟之谁与争锋 	 小说地址：http://www.qu.la/book/693/ 
小说名：重启末世 	 小说地址：http://www.qu.la/book/4326/ 
小说名：茅山后裔 	 小说地址：http://www.qu.la/book/36682/ 
小说名：末世大回炉 	 小说地址：http://www.qu.la/book/254380/ 

小说种类：网游竞技排行 
小说名：网游之逆天戒指 	 小说地址：http://www.qu.la/book/10479/ 
小说名：超神机械师 	 小说地址：http://www.qu.la/book/31243/ 
小说名：诸世大劫主 	 小说地址：http://www.qu.la/book/264698/ 
小说名：异界全职业大师 	 小说地址：http://www.qu.la/book/2501/ 
小说名：网游之全球在线 	 小说地址：http://www.qu.la/book/17560/ 
小说名：惊悚乐园 	 小说地址：http://www.qu.la/book/156/ 
小说名：重生之最强剑神 	 小说地址：http://www.qu.la/book/9362/ 
小说名：文明之万界领主 	 小说地址：http://www.qu.la/book/84510/ 
小说名：网游之奴役众神 	 小说地址：http://www.qu.la/book/44711/ 
小说名：网游之锦衣卫 	 小说地址：http://www.qu.la/book/17343/ 
小说名：神鬼剑士 	 小说地址：http://www.qu.la/book/631/ 
小说名：网游之诡影盗贼 	 小说地址：http://www.qu.la/book/3738/ 
小说名：网游之最强传说 	 小说地址：http://www.qu.la/book/47743/ 
小说名：重生之领主时代 	 小说地址：http://www.qu.la/book/34892/ 
小说名：吃鸡之无限升级系统 	 小说地址：http://www.qu.la/book/214965/ 

小说种类：女生频道排行 
小说名：神医嫡女 	 小说地址：http://www.qu.la/book/13703/ 
小说名：且听凤鸣 	 小说地址：http://www.qu.la/book/258291/ 
小说名：恰似寒光遇骄阳 	 小说地址：http://www.qu.la/book/67608/ 
小说名：报告首长，我重生啦！ 	 小说地址：http://www.qu.la/book/142641/ 
小说名：误惹妖孽王爷：废材逆天四小姐 	 小说地址：http://www.qu.la/book/6598/ 
小说名：乘鸾 	 小说地址：http://www.qu.la/book/66492/ 
小说名：娇鸾 	 小说地址：http://www.qu.la/book/55999/ 
小说名：拒嫁豪门：少夫人99次出逃 	 小说地址：http://www.qu.la/book/11656/ 
小说名：军装下的绕指柔 	 小说地址：http://www.qu.la/book/75029/ 
小说名：锦桐 	 小说地址：http://www.qu.la/book/21487/ 
小说名：上阳赋 	 小说地址：http://www.qu.la/book/267742/ 
小说名：许你万丈光芒好 	 小说地址：http://www.qu.la/book/238796/ 
小说名：侯门神医大小姐 	 小说地址：http://www.qu.la/book/268702/ 
小说名：重生七七俏媳妇 	 小说地址：http://www.qu.la/book/258246/ 
小说名：爆笑宠妃：爷我等你休妻 	 小说地址：http://www.qu.la/book/11661/ 

小说种类：历史军事排行 
小说名：钢铁皇朝 	 小说地址：http://www.qu.la/book/21253/ 
小说名：天唐锦绣 	 小说地址：http://www.qu.la/book/24704/ 
小说名：重生之战神吕布 	 小说地址：http://www.qu.la/book/78541/ 
小说名：逍遥小书生 	 小说地址：http://www.qu.la/book/23934/ 
小说名：国家意志 	 小说地址：http://www.qu.la/book/109316/ 
小说名：大唐好相公 	 小说地址：http://www.qu.la/book/45600/ 
小说名：寒门崛起 	 小说地址：http://www.qu.la/book/8909/ 
小说名：超神特种兵王 	 小说地址：http://www.qu.la/book/43308/ 
小说名：南宋第一卧底 	 小说地址：http://www.qu.la/book/212410/ 
小说名：寒门枭士 	 小说地址：http://www.qu.la/book/27940/ 
小说名：最强兵王 	 小说地址：http://www.qu.la/book/4511/ 
小说名：抗日之兵魂传说 	 小说地址：http://www.qu.la/book/123/ 
小说名：唐砖 	 小说地址：http://www.qu.la/book/118/ 
小说名：明末工程师 	 小说地址：http://www.qu.la/book/21287/ 
小说名：鹰掠九天 	 小说地址：http://www.qu.la/book/125042/ 

小说种类：完本小说排行 
小说名：乾坤剑神 	 小说地址：http://www.qu.la/book/9118/ 
小说名：修仙狂徒 	 小说地址：http://www.qu.la/book/88/ 
小说名：九转道经 	 小说地址：http://www.qu.la/book/49218/ 
小说名：绝世武神 	 小说地址：http://www.qu.la/book/322/ 
小说名：大王饶命 	 小说地址：http://www.qu.la/book/38531/ 
小说名：钢铁皇朝 	 小说地址：http://www.qu.la/book/21253/ 
小说名：恰似寒光遇骄阳 	 小说地址：http://www.qu.la/book/67608/ 
小说名：末世之全能大师 	 小说地址：http://www.qu.la/book/27473/ 
小说名：超品相师 	 小说地址：http://www.qu.la/book/2970/ 
小说名：逍遥小书生 	 小说地址：http://www.qu.la/book/23934/ 
小说名：太古神王 	 小说地址：http://www.qu.la/book/4140/ 
小说名：报告首长，我重生啦！ 	 小说地址：http://www.qu.la/book/142641/ 
小说名：网游之逆天戒指 	 小说地址：http://www.qu.la/book/10479/ 
小说名：斗罗大陆II绝世唐门 	 小说地址：http://www.qu.la/book/37/ 
小说名：校花之贴身高手 	 小说地址：http://www.qu.la/book/127238/ 

小说种类：玄幻奇幻排行 
小说名：乾坤剑神 	 小说地址：http://www.qu.la/book/9118/ 
小说名：武炼巅峰 	 小说地址：http://www.qu.la/book/68/ 
小说名：全职法师 	 小说地址：http://www.qu.la/book/4703/ 
小说名：重生之都市仙尊 	 小说地址：http://www.qu.la/book/85467/ 
小说名：九转道经 	 小说地址：http://www.qu.la/book/49218/ 
小说名：绝世武神 	 小说地址：http://www.qu.la/book/322/ 
小说名：圣墟 	 小说地址：http://www.qu.la/book/24868/ 
小说名：修罗武神 	 小说地址：http://www.qu.la/book/175/ 
小说名：永生 	 小说地址：http://www.qu.la/book/856/ 
小说名：神控天下 	 小说地址：http://www.qu.la/book/133/ 
小说名：无敌天下 	 小说地址：http://www.qu.la/book/288/ 
小说名：伏天氏 	 小说地址：http://www.qu.la/book/2125/ 
小说名：完美世界 	 小说地址：http://www.qu.la/book/14/ 
小说名：太古神王 	 小说地址：http://www.qu.la/book/4140/ 
小说名：天辰 	 小说地址：http://www.qu.la/book/109268/ 

小说种类：武侠仙侠排行 
小说名：飞天 	 小说地址：http://www.qu.la/book/2847/ 
小说名：修仙狂徒 	 小说地址：http://www.qu.la/book/88/ 
小说名：重生西游之天篷妖尊 	 小说地址：http://www.qu.la/book/27946/ 
小说名：蛊真人 	 小说地址：http://www.qu.la/book/244/ 
小说名：一念永恒 	 小说地址：http://www.qu.la/book/16431/ 
小说名：我师兄实在太稳健了 	 小说地址：http://www.qu.la/book/239537/ 
小说名：遮天 	 小说地址：http://www.qu.la/book/394/ 
小说名：仙草供应商 	 小说地址：http://www.qu.la/book/93543/ 
小说名：大奉打更人 	 小说地址：http://www.qu.la/book/249305/ 
小说名：九仙图 	 小说地址：http://www.qu.la/book/11631/ 
小说名：诛仙 	 小说地址：http://www.qu.la/book/116/ 
小说名：凡人修仙之仙界篇 	 小说地址：http://www.qu.la/book/3353/ 
小说名：觅仙路 	 小说地址：http://www.qu.la/book/1566/ 
小说名：阳神 	 小说地址：http://www.qu.la/book/854/ 
小说名：我欲封天 	 小说地址：http://www.qu.la/book/1/ 

小说种类：都市言情排行 
小说名：红色仕途 	 小说地址：http://www.qu.la/book/50/ 
小说名：重生之财源滚滚 	 小说地址：http://www.qu.la/book/18363/ 
小说名：战神医婿 	 小说地址：http://www.qu.la/book/267634/ 
小说名：佣兵的战争 	 小说地址：http://www.qu.la/book/3504/ 
小说名：大王饶命 	 小说地址：http://www.qu.la/book/38531/ 
小说名：特种兵在都市 	 小说地址：http://www.qu.la/book/147/ 
小说名：都市之最强狂兵 	 小说地址：http://www.qu.la/book/84138/ 
小说名：流氓艳遇记 	 小说地址：http://www.qu.la/book/2505/ 
小说名：重生之衙内 	 小说地址：http://www.qu.la/book/1912/ 
小说名：宁北苏清荷 	 小说地址：http://www.qu.la/book/259415/ 
小说名：万族之劫 	 小说地址：http://www.qu.la/book/248516/ 
小说名：超品相师 	 小说地址：http://www.qu.la/book/2970/ 
小说名：校花的贴身高手 	 小说地址：http://www.qu.la/book/161/ 
小说名：误入官场 	 小说地址：http://www.qu.la/book/64/ 
小说名：天才相师 	 小说地址：http://www.qu.la/book/1115/ 

小说种类：科幻灵异排行 
小说名：末世之全能大师 	 小说地址：http://www.qu.la/book/27473/ 
小说名：驭房有术 	 小说地址：http://www.qu.la/book/24456/ 
小说名：吞噬星空 	 小说地址：http://www.qu.la/book/398/ 
小说名：九星毒奶 	 小说地址：http://www.qu.la/book/131920/ 
小说名：快穿之炮灰女配逆袭记 	 小说地址：http://www.qu.la/book/41337/ 
小说名：我有一座恐怖屋 	 小说地址：http://www.qu.la/book/102041/ 
小说名：九鬼压棺 	 小说地址：http://www.qu.la/book/251788/ 
小说名：学霸的黑科技系统 	 小说地址：http://www.qu.la/book/71431/ 
小说名：末世之黑暗召唤师 	 小说地址：http://www.qu.la/book/1032/ 
小说名：诸界末日在线 	 小说地址：http://www.qu.la/book/46361/ 
小说名：我是一具尸体 	 小说地址：http://www.qu.la/book/11590/ 
小说名：英雄联盟之谁与争锋 	 小说地址：http://www.qu.la/book/693/ 
小说名：重启末世 	 小说地址：http://www.qu.la/book/4326/ 
小说名：茅山后裔 	 小说地址：http://www.qu.la/book/36682/ 
小说名：末世大回炉 	 小说地址：http://www.qu.la/book/254380/ 

小说种类：网游竞技排行 
小说名：网游之逆天戒指 	 小说地址：http://www.qu.la/book/10479/ 
小说名：超神机械师 	 小说地址：http://www.qu.la/book/31243/ 
小说名：诸世大劫主 	 小说地址：http://www.qu.la/book/264698/ 
小说名：异界全职业大师 	 小说地址：http://www.qu.la/book/2501/ 
小说名：网游之全球在线 	 小说地址：http://www.qu.la/book/17560/ 
小说名：惊悚乐园 	 小说地址：http://www.qu.la/book/156/ 
小说名：重生之最强剑神 	 小说地址：http://www.qu.la/book/9362/ 
小说名：文明之万界领主 	 小说地址：http://www.qu.la/book/84510/ 
小说名：网游之奴役众神 	 小说地址：http://www.qu.la/book/44711/ 
小说名：网游之锦衣卫 	 小说地址：http://www.qu.la/book/17343/ 
小说名：神鬼剑士 	 小说地址：http://www.qu.la/book/631/ 
小说名：网游之诡影盗贼 	 小说地址：http://www.qu.la/book/3738/ 
小说名：网游之最强传说 	 小说地址：http://www.qu.la/book/47743/ 
小说名：重生之领主时代 	 小说地址：http://www.qu.la/book/34892/ 
小说名：吃鸡之无限升级系统 	 小说地址：http://www.qu.la/book/214965/ 

小说种类：女生频道排行 
小说名：神医嫡女 	 小说地址：http://www.qu.la/book/13703/ 
小说名：且听凤鸣 	 小说地址：http://www.qu.la/book/258291/ 
小说名：恰似寒光遇骄阳 	 小说地址：http://www.qu.la/book/67608/ 
小说名：报告首长，我重生啦！ 	 小说地址：http://www.qu.la/book/142641/ 
小说名：误惹妖孽王爷：废材逆天四小姐 	 小说地址：http://www.qu.la/book/6598/ 
小说名：乘鸾 	 小说地址：http://www.qu.la/book/66492/ 
小说名：娇鸾 	 小说地址：http://www.qu.la/book/55999/ 
小说名：拒嫁豪门：少夫人99次出逃 	 小说地址：http://www.qu.la/book/11656/ 
小说名：军装下的绕指柔 	 小说地址：http://www.qu.la/book/75029/ 
小说名：锦桐 	 小说地址：http://www.qu.la/book/21487/ 
小说名：上阳赋 	 小说地址：http://www.qu.la/book/267742/ 
小说名：许你万丈光芒好 	 小说地址：http://www.qu.la/book/238796/ 
小说名：侯门神医大小姐 	 小说地址：http://www.qu.la/book/268702/ 
小说名：重生七七俏媳妇 	 小说地址：http://www.qu.la/book/258246/ 
小说名：爆笑宠妃：爷我等你休妻 	 小说地址：http://www.qu.la/book/11661/ 

小说种类：历史军事排行 
小说名：钢铁皇朝 	 小说地址：http://www.qu.la/book/21253/ 
小说名：天唐锦绣 	 小说地址：http://www.qu.la/book/24704/ 
小说名：重生之战神吕布 	 小说地址：http://www.qu.la/book/78541/ 
小说名：逍遥小书生 	 小说地址：http://www.qu.la/book/23934/ 
小说名：国家意志 	 小说地址：http://www.qu.la/book/109316/ 
小说名：大唐好相公 	 小说地址：http://www.qu.la/book/45600/ 
小说名：寒门崛起 	 小说地址：http://www.qu.la/book/8909/ 
小说名：超神特种兵王 	 小说地址：http://www.qu.la/book/43308/ 
小说名：南宋第一卧底 	 小说地址：http://www.qu.la/book/212410/ 
小说名：寒门枭士 	 小说地址：http://www.qu.la/book/27940/ 
小说名：最强兵王 	 小说地址：http://www.qu.la/book/4511/ 
小说名：抗日之兵魂传说 	 小说地址：http://www.qu.la/book/123/ 
小说名：唐砖 	 小说地址：http://www.qu.la/book/118/ 
小说名：明末工程师 	 小说地址：http://www.qu.la/book/21287/ 
小说名：鹰掠九天 	 小说地址：http://www.qu.la/book/125042/ 

小说种类：完本小说排行 
小说名：乾坤剑神 	 小说地址：http://www.qu.la/book/9118/ 
小说名：修仙狂徒 	 小说地址：http://www.qu.la/book/88/ 
小说名：九转道经 	 小说地址：http://www.qu.la/book/49218/ 
小说名：绝世武神 	 小说地址：http://www.qu.la/book/322/ 
小说名：大王饶命 	 小说地址：http://www.qu.la/book/38531/ 
小说名：钢铁皇朝 	 小说地址：http://www.qu.la/book/21253/ 
小说名：恰似寒光遇骄阳 	 小说地址：http://www.qu.la/book/67608/ 
小说名：末世之全能大师 	 小说地址：http://www.qu.la/book/27473/ 
小说名：超品相师 	 小说地址：http://www.qu.la/book/2970/ 
小说名：逍遥小书生 	 小说地址：http://www.qu.la/book/23934/ 
小说名：太古神王 	 小说地址：http://www.qu.la/book/4140/ 
小说名：报告首长，我重生啦！ 	 小说地址：http://www.qu.la/book/142641/ 
小说名：网游之逆天戒指 	 小说地址：http://www.qu.la/book/10479/ 
小说名：斗罗大陆II绝世唐门 	 小说地址：http://www.qu.la/book/37/ 
小说名：校花之贴身高手 	 小说地址：http://www.qu.la/book/127238/ 
